PID CMD
597 /usr/lib/snapd/snapd
258 /usr/lib/systemd/systemd-journald
604 /usr/lib/systemd/systemd-logind
405 /usr/lib/systemd/systemd-oomd
411 /usr/lib/systemd/systemd-resolved
1 /usr/lib/systemd/systemd
417 /usr/lib/systemd/systemd-timesyncd
316 /usr/lib/systemd/systemd-udevd
1733 /usr/lib/systemd/systemd
612 /usr/sbin/cron
1170 /usr/sbin/cups-browsed
1144 /usr/sbin/cupsd
1172 /usr/sbin/gdm3
1178 /usr/sbin/kerneloops
1171 /usr/sbin/kerneloops
772 /usr/sbin/ModemManager
703 /usr/sbin/NetworkManager
655 /usr/sbin/rsyslogd
708 /usr/sbin/wpa_supplicant
49 [watchdogd]
